Source	Target
A0A4P3HEZ8	
A0A709W033	
A0A731BZ82	
A0A708Y625	
A0A701NIZ7	
A0A707YZM1	
A0A6X8T6Y2	
A0A707ZKY9	
A0A774SAF1	
A0A710LTF4	
A0A0G3B5S7	
A0A625MFJ9	
A0A736ADK7	
A0A727P5Q5	
A0A5X6SWE6	
A0A733N0M4	
A0A709QXA8	
A0A635Q813	
A0A701I0B7	
A0A706X458	
A0A710RVV5	
A0A707ZKR2	
A0A0P0CN59	
A0A736E3B7	
A0A727RUI7	
A0A734DQ37	
A0A636BDI2	
A0A708CDS7	
A0A701NI63	
A0A707YVP7	
A0A734G204	
A0A751ZAY8	
A0A731Y9A7	
A0A707YW46	
A0A732YFJ4	
A0A707FQ93	
A0A709U7Y5	
A0A735XTS3	
A0A767XQA4	
A0A735ZP68	
A0A709SMZ9	
A0A626J3E5	
A0A707ZGP4	
A0A708CPU4	
A0A631XH95	
A0A701EBY0	
A0A707M0P6	
A0A707YTF1	
A0A701H2Z1	
A0A707I9K5	
A0A628N5V7	
A0A708C1A9	
A0A701EFM5	
A0A701I8R8	
A0A701IZE6	
A0A5W4ZL53	
A0A741X7C0	
A0A602C825	
A0A6Y4APZ5	
A0A636NGD6	
A0A5U8V8B3	
A0A737X6G3	
A0A731BKD8	
A0A701W4A9	
Q2QHD3	
A0A708CMI5	
A0A625MAU1	
A0A708M501	
A0A704S4E3	
A0A739AYK8	
A0A6M3PS42	
A0A714EAM1	
A0A707ZZL6	
A0A727S312	
A0A727SXQ2	
A0A710EDN4	
A0A710JH97	
A0A708XVF8	
A0A5Y0LVS8	
A0A705YHP3	
A0A707PPU5	
A0A5X1P672	
A0A708AWN1	
A0A736E2M7	
Q9F2C7	
A0A740LTV8	
A0A740K514	
A0A710VZE1	
A0A708JRW9	
A0A724N6X8	
A0A710LLM5	
A0A732INN9	
A0A716A4Z6	
A0A701IWM6	
A0A734DPZ3	
A0A635CN10	
A0A5V8ULI8	
A0A735I4I6	
A0A708DKS9	
A0A767WRS1	
A0A706KHJ0	
A0A7G2DPP6	
A0A604VV58	
A0A701C6L3	
A0A724B5U7	
A0A5W9YP91	
A0A707C241	
A0A701T6F1	
A0A701K5E2	
A0A708E6N2	
A0A707YI40	
A0A701CY36	
A0A736EAS6	
A0A701NFI3	
A0A710FD63	
A0A709D7F0	
A0A701G1G2	
A0A701H3E1	
Q06W96	
A0A637RJ52	
A0A710LLR2	
A0A611CQY1	
A0A706KPY7	
A0A712WM61	
Q2QHG8	
A0A727MYY1	
A0A709K3S9	
A0A4D6IUF2	
A0A708D165	
A0A701IVX0	
A0A736Q5K2	
A0A5X3BQU9	
A0A627WVC6	
T2HVD0	
A0A707PRC7	
A0A714DS62	
A0A709IE54	
A0A709ZRI5	
A0A730CZX4	
A0A709JH15	
H6SFS4	
A0A1I9W712	
A0A704S1X4	
A0A708KTL8	
A0A707YQG9	
A0A706MI77	
A0A708UPG0	
A0A701P433	
A0A607JR03	
A0A723VHP6	
A0A707E4E2	
A0A707WR05	
A0A600BRD5	
A0A708E262	
A0A611G5A0	
A0A728M6U2	
A0A774MHE4	
A0A5Y8ERU1	
A0A731GJA6	
A0A5U8V6V8	
A0A620WPV9	
A0A734GQ80	
A0A710W215	
A0A709T9V1	
A0A709JTB8	
Q9L4S9	
Q2QHF8	
A0A708BH53	
A0A704VU20	
A0A701J105	
A0A701EG19	
A0A713IH33	
A0A707ZCG9	
A0A611UTH5	
A0A740SN01	
A0A707YXR0	
A0A5W5VET4	
A0A633ZE50	
A0A709U884	
A0A709RUZ4	
A0A629ATL4	
A0A736E696	
A0A731AAY8	
A0A708V0X0	
A0A715WSN7	
A0A727Z1H7	
A0A701JXN9	
A0A730JVQ3	
A0A6Y3M9R7	
A0A707YPT7	
A0A707G893	
A0A3R5T0T8	
A0A731W337	
A0A707GCE6	
A0A5Y0LP52	
A0A707YXT9	
A0A727RP78	
A0A707JZ77	
A0A609J446	
A0A767SII3	
A0A752PIB8	
A0A635X4D9	
A0A6Y4T007	
A0A736A6Y7	
A0A701GPZ0	
A0A736D6L0	
A0A708M5T7	
A0A707YVF5	
A0A705XVG3	
A0A701KBU4	
A0A3Z1VDJ2	
A0A5W9KNU6	
A0A701LX98	
A0A5W6KQ40	
A0A708RHC2	
A0A736E8D4	
A0A3Z7WLT5	
A0A727MD70	
A0A710VLA7	
A0A707ZNV6	
A0A736ADH1	
A0A731ABC5	
A0A701E6H9	
A0A737X8K2	
A0A707YYJ9	
A0A774SCW7	
A0A709ATZ4	
A0A708EFZ3	
A0A767TGB6	
A0A5W1NNS0	
A0A707GC68	
A0A706X097	
A0A709P3M4	
A0A741MBJ0	
A0A5X9CWV0	
A0A736A8E6	
A0A767RU47	
A0A708T8H8	
A0A5W5VGM2	
Q56095	
A0A735ZZS2	
A0A728I907	
A0A616H1S5	
A0A708KH48	
A0A2H4MRB0	
A0A707T649	
A0A5W2UNS5	
A0A732V862	
A0A631RCF1	
A0A6Y3FCN5	
A0A701KE97	
A0A5Y2ENJ3	
A0A767RYE5	
A0A707Z0D3	
A0A727MM08	
A0A737YSA4	
A0A735ZZY0	
A0A709JEP9	
A0A707ZYN2	
A0A708A0N6	
Q5Y1U8	
A0A1P8DN80	
A0A5W7DWW7	
A0A5V8AMX2	
A0A709HPL2	
A0A735ZSI7	
A0A701J206	
A0A707X8B9	
A0A727D549	
A0A727D4I2	
A0A701JJ29	
A0A701J1S2	
A0A5V5ZN30	
A0A730PP26	
A0A701B4P4	
A0A635UC70	
A0A727S2V0	
A0A6Y4R9I8	
A0A701CW66	
A0A627WV46	
A0A701C076	
A0A647ATV5	
A0A626E7R3	
A0A345WYX8	
A0A701CS17	
A0A707N1P5	
A0A710FC78	
A0A636BD08	
A0A708KD30	
A0A709QBD8	
A0A635UBZ5	
A0A768D606	
A0A738D5M7	
A0A635JQZ4	
A0A740MHZ1	
A0A710VGE8	
A0A707WSG4	
A0A618ES36	
A0A701H6X1	
A0A727RNK3	
A0A638RQD9	
A0A5W9DG74	
A0A736E2X6	
A0A709RX55	
A0A732YML8	
A0A5Z6N6X8	
A0A701K5E3	
A0A701AYC8	
A0A734NFV3	
A0A5Y8EKA4	
A0A707LYX3	
A0A5V8UJP4	
A0A706BEF8	
A0A701GX84	
A0A708RGM0	
A0A708DPV1	
A0A5V7MQQ7	
A0A729KNH2	
A0A732CGM0	
A0A701I8J7	
A0A707G2H8	
A0A6Y3HIX7	
A0A701K5F5	
A0A626G2M8	
A0A767TSZ8	
A0A707YVH5	
A0A707YYZ0	
A0A736A8B4	
A0A708T8P7	
A0A602C728	
A0A629GJA1	
A0A741R1N2	
A0A727SGM0	
A0A709RW61	
A0A727M9H8	
A0A708ALX6	
A0A1I9W6G6	
A0A767SPK6	
A0A709XW50	
A0A707YXQ5	
A0A701CW18	
A0A5Z9X7N4	
A0A5W8R083	
A0A707PTM3	
V5W6X2	
A0A709R511	
A0A635CPB5	
A0A740JWA8	
A0A707WUN6	
A0A741U6H3	
A0A735ZK11	
A0A620W0W9	
B2XXJ5	
A0A5W8R2G1	
A0A5X6VMM5	
A0A716Q4Z7	
A0A727RUP3	
A0A712NEL5	
A0A740LQR8	
A0A713W052	
A0A708KK75	
A0A626F7Z3	
A0A727KN90	
A0A704S203	
A0A767W6N5	
A0A708CN46	
A0A618CSM5	
A0A5U8V8J4	
A0A774MYF7	
A0A707PXJ9	
A0A701TEB8	
A0A0N7HV68	
A0A709FIH1	
A0A710NWG1	
A0A715WU82	
A0A738CNY9	
A0A707K5P0	
A0A635JP25	
A0A0D3RJT0	
A0A618EWV1	
A0A709EXM3	
A0A709HB34	
A0A609S0X1	
A0A708UW78	
A0A774N0F7	
A0A701PPL2	
A0A701X813	
A0A6Y4AJX4	
A0A733I136	
A0A727D195	
A0A705WV48	
A0A5Y7BZN7	
A0A738B9K9	
A0A707DQJ5	
A0A736A338	
A0A707HPE6	
A0A738CZP1	
A0A710SMV2	
A0A621JGI1	
A0A752R8G9	
A0A701T3W4	
A0A701FYE0	
A0A5W2CMX2	
A0A736EBP0	
A0A727RVH2	
A0A727MMI8	
A0A727RPV8	
A0A709LB03	
A0A5X8VWS4	
A0A709WCP2	
A0A708CRK8	
A0A708KXN4	
A0A609VKG9	
A0A6Y1QWA8	
A0A701H4T6	
A0A611XSS2	
A0A741R5E5	
A0A5X8W1F6	
A0A729JYH0	
A0A5W6E1S4	
A0A727RN27	
A0A3U5FD91	
A0A710LMX0	
A0A5V8R407	
A0A5V8XPK5	
A0A5Z8DXB8	
A0A709WED0	
A0A5W5Z8Z7	
A0A708CM80	
A0A611KI76	
A0A3U8KUP8	
A0A636B7Z9	
A0A731ABW0	
A0A707HP09	
A0A709MS67	
A0A701J1N6	
A0A626PV11	
A0A5V8YJE8	
A0A3U5FGL2	
A0A610AKV4	
A0A6Y3F3T2	
A0A701NLS4	
A0A709IAF7	
A0A5Z7M743	
A0A727WAF1	
A0A611V1K7	
A0A736E936	
A0A731VT75	
A0A611UIG0	
A0A5X8NL34	
A0A709R5A6	
A0A636B780	
A0A3Z7JAT4	
A0A709WFS9	
A0A3Z7WGJ5	
A0A5U8V8A3	
A0A732WEY6	
A0A701L2S2	
A0A709QZ67	
A0A709MW13	
A0A5W4YC89	
A0A5W3QNA7	
A0A707YQL6	
A0A5W1Q6R1	
A0A707YYR6	
A0A735ZZZ1	
A0A5W6KHV5	
A0A5W2DTU0	
A0A727S400	
A0A731GAF1	
A0A701NHL3	
A0A5W3T255	
A0A5V8R4Z4	
A0A727RUP8	
A0A3Z5SRX4	
A0A637A199	
A0A620W3L2	
A0A741XCM4	
A0A5W2UIV0	
A0A3Z7V2H2	
A0A3U0CH43	
A0A3U8HYK7	
A0A707TEH4	
A0A626JF77	
Q84I44	
A0A5U8V3G4	
A0A5V6CEL1	
A0A7G2DCX9	
A0A706NRE0	
A0A629GSJ6	
A0A6X7WJ46	
A0A611C0K5	
A0A709U7X3	
A0A730N3K0	
A0A708AF56	
A0A707YR71	
A0A1P8DNB4	
A0A603KKN9	
A0A767W9C1	
A0A6Y3HNB3	
A0A727HDV1	
A0A709YA87	
A0A767RU56	
A0A707R2G9	
A0A630J363	
A0A631NFP6	
A0A4P3HMT9	
A0A635CN19	
A0A736E3Y9	
A0A708CEW4	
A0A5W5AD13	
A0A631ZFY1	
A0A636B5E5	
A0A709C1A9	
A0A5W2LQ37	
A0A707UMG0	
A0A5X1P102	
A0A610K3Q9	
A0A631XI12	
A0A631KYT1	
A0A707RPP2	
A0A3V6MVU6	
A0A706AGA3	
A0A710KW54	
A0A735TNB9	
A0A735ZUG7	
A0A620W955	
A0A709K4Y2	
A0A767XXZ7	
A0A3Z1V4N4	
A0A5Y8EQZ3	
A0A5W7QNX6	
A0A701NAS8	
A0A727MEM1	
A0A701NHE4	
A0A5X4PZ63	
A0A635FNW8	
A0A603VN68	
A0A740FCD3	
A0A727MRG4	
A0A603ZGP5	
A0A620W8H5	
C4NZW0	
A0A701NJ64	
A0A712W0R4	
A0A636FDM6	
A0A3Z1V3G9	
A0A629ATG0	
A0A609RV21	
A0A5W9YQW5	
A0A701KE82	
A0A3Z1V361	
A0A701GF44	
A0A634QI10	
A0A6X8FBI0	
A0A727D5I1	
A0A5W1Q8Z5	
A0A602BWQ3	
A0A611G7T9	
A0A3Z1V6E4	
A0A620SZT2	
A0A731BNN3	
A0A701DXT8	
A0A6Y6EHD3	
A0A708IXU1	
A0A706W1H4	
A0A707YWP8	
A0A5W6E1V4	
A0A5V9DVZ3	
A0A706QI83	
A0A3V6MZB8	
A0A3Z5SYC5	
A0A620WDU4	
A0A707YTN7	
A0A704RY67	
A0A707YPC2	
A0A638KL25	
A0A741R651	
A0A701EDB6	
A0A706LTR1	
A0A701EE50	
A0A705WRV9	
A0A5W8PH74	
A0A710VXT6	
A0A3Z1V8D8	
A0A3R1CLM9	
A0A708GD45	
A0A701IW61	
A0A736A5V1	
A0A5V8BHY4	
A0A5Y0MAS6	
A0A5X7JGB3	
A0A631YF94	
A0A727MVF3	
A0A727RXX7	
A0A0A7CZ14	
A0A706AY39	
A0A601Z4E5	
A0A708VMH7	
A0A5W5ZHI4	
A0A5X1BDW3	
A0A626LPK7	
A0A630MR44	
A0A709R7D1	
A0A5U8V7V5	
A0A727RPV2	
A0A5X4L6D6	
A0A5T4J3H7	
A0A5V8R290	
A0A706WS27	
A0A611B328	
A0A636B169	
A0A637NFM7	
A0A733YKC6	
A0A5Y0LV32	
A0A603Q8W2	
A0A708CQG4	
A0A707YTG2	
A0A634SIX2	
A0A716LBG5	
A0A736Q051	
A0A620WNB4	
A0A730RBG1	
A0A707JQX8	
A0A732NRF7	
A0A3Z7WES0	
A0A727S1A2	
A0A5U0E9R3	
A0A727MM93	
A0A767TES6	
A0A5Z8AJ26	
A0A707UFI3	
A0A5V8YJ66	
A0A5W3G1G4	
Q5W316	
A0A736A614	
A0A705WZ73	
A0A709HQ99	
A0A5X6VUH1	
A0A5Y4VH74	
A0A707ZX11	
A0A625QMR3	
A0A707LVI2	
A0A707YXH7	
A0A634KIC3	
A0A6M3NKL7	
A0A708HJD3	
A0A708CMU0	
A0A3Z1V0N4	
A0A730REP1	
A0A0G3B6C5	
A0A709F9V8	
A0A767W529	
A0A625QL81	
A0A618V5H7	
A0A701IYT2	
A0A5V8KZU1	
A0A626LMR7	
A0A707YT72	
A0A705XV45	
A0A735ZTR9	
A0A767S3S4	
A0A3V4WTB9	
A0A621EKS1	
A0A774MT54	
A0A724N3N0	
A0A707FJA6	
A0A701IX75	
A0A625QRZ9	
A0A741MHC4	
A0A5X0D4E8	
A0A707QCF4	
A0A735ZN77	
A0A3Z1V2T9	
A0A600TKH2	
A0A767S764	
A0A708CM84	
A0A627PCQ7	
A0A701GAR6	
A0A710VI52	
A0A741U128	
A0A705YJH7	
A0A706C4S1	
A0A713RXV8	
Q56028	
A0A5X9H9Y0	
A0A3V9J5P6	
A0A636FGU2	
A0A729JCK3	
A0A701H8F4	
D5LGE1	
A0A734GJ60	
A0A5V8R9A7	
A0A706WRF0	
A0A627UKG2	
A0A601Z1F1	
A0A707Q4R9	
A0A701TAH9	
A0A0P0BYA3	
A0A701NIL2	
E0D8H9	
A0A715WE30	
A0A5Z9M5S1	
A0A735ZSJ1	
A0A701KTW3	
A0A636B9W7	
A0A620WL81	
A0A701IWB4	
A0A735ZT92	
A0A618EZT3	
A0A5W6A3E1	
A0A729R334	
A0A707Q9Q1	
A0A620VZX9	
A0A603KI00	
A0A707C4Q5	
A0A741SDH7	
A0A626IXH5	
A0A707N8R2	
A0A711ADY6	
A0A5V8AJZ7	
A0A3Z1V5D9	
A0A713CUS5	
A0A707GXK2	
A0A701EE11	
A0A3Z1V5E9	
A0A707YWL1	
A0A707YRP1	
A0A736ADU9	
A0A5X9QMM1	
A0A707F6C0	
A0A5Y0LXY7	
A0A5X9H3C3	
A0A701NLM2	
A0A5X9K9P2	
A0A727D785	
A0A707U4G4	
A0A701H3J1	
A0A707YZK7	
A0A707KQ29	
A0A710HCP4	
A0A727MTH5	
A0A702W294	
A0A701NGA6	
A0A5V8F5Q1	
A0A5X9MLR0	
A0A706C507	
A0A5W4SBL3	
A0A774MXS7	
A0A6X6TL14	
A0A5U0EC69	
A0A705WXP0	
A0A627PCF0	
A0A707JUP7	
A0A5V8R9X7	
A0A706P6Y2	
A0A3Z1V9Z8	
A0A5X7MRC2	
A0A5W3QPK1	
A0A706EFA7	
A0A611XTH1	
A0A611GMS0	
A0A5W2ULS4	
A0A5X0PEB3	
A0A620W834	
A0A701IXE4	
A0A732IQ39	
A0A631P164	
A0A5X0F349	
A0A6Y3MEG9	
A0A5X8VW11	
A0A702R8D3	
A0A708DZG1	
A0A635X8Z8	
A0A5W5ZD75	
A0A3Z1V9G5	
A0A3Z1V6C6	
A0A714GLU1	
A0A727HVC4	
A0A752DTW8	
A0A709KRA9	
A0A6Y6HBC5	
A0A707SEW0	
A0A6Y2TER2	
A0A3U5FQB5	
A0A5V8XGE7	
A0A767TNQ9	
A0A729JC26	
A0A736E3L6	
A0A701EDA9	
A0A5W4Z5L9	
A0A5U8V895	
A0A639KNI7	
A0A707BR84	
A0A701JLP2	
A0A707U9F9	
A0A707YTV7	
A0A5W6A9G1	
B2XXJ1	
A0A634R2U9	
A0A626FBI6	
A0A611U7A6	
A0A727RRT3	
A0A701ICI5	
A0A5U8V620	
A0A707BQY1	
A0A706MP30	
A0A5W5ZEI0	
A0A5W8R282	
A0A736E2N2	
A0A709P6A1	
A0A709F4T8	
A0A706C559	
A0A731BRJ4	
A0A609IY33	
A0A724B2B3	
A0A707BRW1	
A0A736A2W4	
A0A708JXM6	
A0A707YJN3	
A0A701IWX2	
A0A707YRR4	
A0A707YWN9	
A0A5Z6FDX7	
A0A626FFH9	
A0A707YVM8	
A0A727MUC7	
A0A735ZTY4	
A0A713XY42	
A0A634QYP1	
A0A5Z5NN35	
A0A708T7P0	
A0A706RHS7	
A0A701NH85	
A0A626FDP1	
A0A701NH86	
A0A706U493	
A0A701EDD5	
A0A727RRD3	
A0A710EDJ9	
A0A635CNE7	
A0A707YM22	
A0A707T0V3	
A0A708TR12	
A0A731VPI8	
A0A741MMD3	
A0A751XBQ6	
A0A715WUM2	
A0A701NJE5	
A0A715WRX9	
A0A735ZN36	
A0A631M614	
A0A3U5FHG1	
A0A701J365	
A0A736URP3	
A0A709D688	
A0A709E9N9	
A0A708DZD6	
A0A701IFZ0	
A0A707YU96	
A0A3Z5SWX1	
A0A736A239	
A0A5X0J8N9	
A0A708M8H4	
A0A626CE19	
A0A707J982	
A0A7G2DGX0	
Q5Y1W3	
A0A731UDR3	
A0A5U8V9I9	
A0A708EBM3	
A0A707ZS25	
A0A709C4X5	
A0A708AIJ3	
A0A5W7F1Z9	
A0A734GR84	
A0A625VUT9	
A0A5Z6NB88	
A0A709FNJ0	
A0A713QFF6	
A0A714HTB6	
A0A709T7T5	
A0A727C971	
A0A701ECC2	
A0A707WJ58	
A0A740V918	
A0A5V7SDJ1	
A0A5X0IZX1	
A0A634R068	
A0A5U8V1T5	
A0A735ZZN4	
A0A635CUJ1	
A0A5Z5YSK1	
A0A708CM29	
A0A727S2Z5	
A0A708D4E7	
A0A710TKK5	
A0A706Q5X5	
A0A5W1XL32	
A0A710LMV4	
A0A5W6JN10	
A0A710TZL6	
A0A767RWI7	
A0A735ZTS6	
A0A706TLP7	
A0A701J1W1	
A0A736E804	
A0A737AB76	
A0A708KSJ2	
A0A5W6KU05	
A0A707ZYR3	
A0A706C5Z8	
A0A5X0PI46	
A0A707D3D4	
A0A740EIH1	
A0A7G2DI28	
A0A709M7C7	
A0A706DBF4	
A0A736E3E6	
A0A5U0E9T0	
A0A727MQ21	
A0A6Y4PPQ7	
A0A3V9J4J5	
A0A708K8S0	
A0A708AHV3	
A0A635CN92	
A0A611GQI3	
A0A709PBJ7	
A0A600BIJ1	
A0A709T2T6	
A0A706C5J2	
O85326	
A0A708CCY4	
A0A1P8VU39	
A0A6Y3M2G1	
A0A741GLV6	
A0A741U4J7	
A0A701IK31	
A0A3Z1V0W3	
A0A5Y4V7Q5	
A0A709TC38	
A0A707YK27	
A0A611XT68	
A0A727RY08	
A0A626J2S0	
A0A728RG44	
A0A707VKL1	
A0A709RQH1	
A0A611XT10	
A0A707RBK4	
A0A3V0JBK4	
A0A6Y2AZH6	
A0A730N1J5	
A0A707CAQ0	
A0A709T724	
A0A706Q4U7	
A0A710C2Y6	
A0A707YV71	
A0A701K0X8	
A0A618CRV7	
A0A713N0Y4	
A0A0H3VUS0	
A0A0G3B651	
A0A707ZN88	
A0A731BQD8	
A0A715WJ66	
A0A709XYF5	
A0A707UFD8	
A0A620W2K1	
A0A625QNF6	
A0A627PB31	
A0A709WXJ4	
A0A727TX40	
A0A714BML4	
A0A727MFF8	
A0A0G3B114	
A0A710LLT9	
A0A708KIG1	
A0A601QXU0	
A0A706C4R0	
A0A5U8V9A0	
A0A701DHQ9	
A0A6Y3T1G1	
A0A5X6SQK3	
A0A727MLD2	
A0A710RRE7	
A0A707BQK6	
A0A706GA97	
A0A736MZL5	
A0A708CDW0	
A0A738CBQ0	
A0A706VVU2	
A0A735ZR59	
A0A706EH27	
A0A5W5XPB9	
A0A730K0N5	
A0A708RU44	
A0A701JRK0	
A0A708NM05	
A0A628N9L9	
A0A710JHK2	
A0A5V8U858	
A0A627WR66	
A0A600BQH0	
A0A634QGP8	
A0A6Y3GWN9	
A0A710FUG1	
A0A707G4X9	
A0A727MHW1	
A0A707J1I5	
A0A741ZS71	
A0A609RM73	
A0A736DZD5	
A0A734D8B8	
A0A710ACN5	
A0A707EC77	
A0A5V7LLM4	
A0A600BEC0	
A0A710AN40	
A0A5Y4VGM7	
A0A707YPF1	
A0A727RXU5	
A0A732R5F8	
A0A3Z8HDN6	
A0A726P0V7	
A0A706IED4	
A0A636BAD8	
A0A740FJW7	
A0A767RXR6	
A0A5W8QWG2	
A0A604VY14	
A0A632V580	
A0A708Q999	
A0A727HR31	
A0A767W4Q0	
A0A708DF01	
A0A708CGS5	
A0A701NJZ6	
A0A713UI99	
A0A731GCJ3	
A0A611SWR5	
A0A707K724	
A0A708CG18	
A0A707HMV5	
A0A727RN69	
A0A5Y4V841	
A0A706WLY6	
A0A5C2CWD7	
A0A611JGG8	
A0A6M3ND04	
A0A736E630	
A0A713XVJ0	
A0A701K715	
A0A734GS05	
A0A740VA89	
A0A712S4V9	
A0A6Y4AT21	
A0A709IE23	
A0A705ZZW4	
A0A706EJH7	
A0A708GEM3	
A0A708D1Y6	
A0A740B214	
Q2QHG4	
A0A647ATW6	
A0A707YUB4	
A0A707YX65	
A0A614Q4Q3	
A0A708CM23	
A0A735ZYE1	
A0A735XP41	
A0A710K2Q6	
A0A611PY43	
A0A701NGH4	
A0A708TE41	
A0A740WFU1	
A0A734D6G2	
A0A3Z7JL21	
A0A635QC97	
A0A701J032	
A0A707BVK1	
A0A627WXE3	
A0A737XTA1	
A0A709LU66	
A0A708HA03	
A0A701NHM6	
A0A710W442	
A0A701CZJ4	
A0A707YSL2	
A0A741MKC4	
A0A5W8JWP8	
A0A706HWN3	
A0A710VZ68	
A0A701IYV8	
A0A774MFE4	
A0A627T521	
A0A5W2CHL9	
A0A602U4G8	
A0A707Q3B3	
A0A3Z1V5U0	
A0A704VR56	
A0A731WDU4	
A0A5Y4VII6	
A0A708DHY7	
A0A0D3RJS8	
A0A708M2A5	
A0A736PXY9	
A0A741X362	
A0A707BVS7	
A0A707T1G8	
A0A708A616	
A0A705WV93	
A0A707YQL0	
A0A706BKJ4	
A0A710DHY6	
A0A701EEZ3	
A0A709H7Y4	
A0A701EE06	
A0A634WSN7	
A0A705X0D8	
A0A708AJY9	
A0A631YDK7	
A0A635CNE2	
A0A708UDZ6	
A0A741X1Z9	
A0A740U595	
A0A752PAZ8	
A0A767XCG6	
A0A707FVW4	
Q5Y1V1	
A0A734JCS5	
A0A740G160	
A0A727WDA7	
E0D8E1	
A0A5Z7K573	
A0A701EHC8	
A0A751X8C2	
A0A6Y3H043	
A0A5W6KSP9	
A0A610B849	
A0A627T586	
A0A5T6Y121	
A0A618CZU2	
A0A710BJK5	
A0A727MB51	
A0A727RW48	
A0A727MR45	
A0A727MQB7	
A0A701IWV5	
A0A730RDD8	
A0A618CPR3	
A0A5U0EAN4	
A0A741ZFV4	
A0A736E6K8	
A0A5W3T6H5	
A0A616IC87	
A0A715ZGG1	
A0A5X9MPC5	
A0A0G3B693	
A0A709PEB0	
A0A727MLC2	
A0A727RYE0	
A0A733YQT1	
A0A774MD59	
A0A625VSE8	
A0A701MMR9	
A0A5X0DBR7	
A0A701DSR7	
A0A701C805	
A0A701X5A9	
A0A707MX88	
A0A6Y1HSW7	
A0A734DJY2	
A0A5U8V3U2	
A0A5V6MKV3	
A0A5U0ENB4	
A0A727CXE0	
A0A635UCQ8	
A0A6Y2XSL4	
A0A707KVQ7	
A0A707HF89	
A0A739DUP9	
A0A5V8WJ61	
A0A713EYP2	
A0A727MPK0	
A0A626GJ38	
A0A736WDS4	
A0A710HT14	
A0A709P2J3	
A0A705WZ84	
A0A710XZ68	
A0A701K816	
A0A710PXT6	
A0A736A9T6	
A0A767XQK6	
A0A736A2N4	
A0A5W2UNT7	
A0A622I594	
A0A707YQ70	
A0A710PIQ1	
A0A635FPF9	
A0A767SJ63	
Q06WJ7	
A0A708NIK9	
A0A5W9YRP0	
A0A727MWS0	
A0A707L249	
A0A5X0INA6	
A0A707M662	
A0A701KW10	
A0A701EC31	
A0A708DHE5	
A0A752UKB5	
A0A708YHC1	
A0A715ZHV6	
A0A5W2GWH8	
A0A709YWM7	
A0A5X9MUL5	
A0A0D3RLX8	
A0A727MJA0	
A0A767UN99	
A0A5W2J056	
A0A727ME90	
A0A707YU56	
A0A739BB34	
A0A286KRP2	
A0A707YY47	
A0A708GLQ0	
A0A701K448	
A0A6Y6KEM1	
A0A708CM62	
A0A701IWJ7	
A0A607G707	
A0A726C914	
A0A5U8V8U2	
A0A728M776	
A0A732J8S1	
A0A701N6X0	
A0A715ZH88	
A0A727MSD1	
A0A767WA92	
A0A727MBY3	
A0A713YWL1	
A0A734MIK1	
A0A5W7I6S3	
A0A742E3M8	
A0A635UC79	
A0A734G3A1	
A0A727MNC3	
A0A752QRU7	
A0A701H6D7	
A0A733HYW6	
A0A0G3B4S4	
A0A6M3NMW2	
A0A5Y2ZDR4	
A0A5W5ZC84	
A0A705X018	
A0A752U6Y3	
A0A7G2DIU8	
A0A706UMN5	
A0A708D603	
A0A710NZ75	
A0A701H5Z1	
A0A767X6M6	
A0A740FN57	
A0A3Z7WM70	
A0A3Z1VA72	
A0A631ZJM1	
A0A619JQD0	
A0A735ZWB8	
A0A731AC62	
A0A705WZK2	
A0A714CCE7	
A0A706C568	
A0A728I9A0	
A0A735ZRQ2	
A0A706D6R7	
A0A711AI61	
A0A628N8X0	
A0A626FEA5	
A0A634SJ80	
A0A5X1PB70	
A0A708DA30	
A0A709XW66	
A0A737ADQ3	
A0A5Y0LVT4	
A0A734CTZ4	
A0A6Y4APN5	
A0A707WVM3	
A0A727M918	
A0A741XJ09	
A0A706W9L7	
A0A701J246	
A0A727RRF8	
A0A707MXB6	
A0A706QIW5	
A0A734H6W2	
A0A5T4IZZ2	
A0A712WRP1	
A0A774MZH0	
A0A725NUG2	
A0A709GPI4	
A0A707PGG5	
E9LLG5	
A0A0E3KI45	
A0A708NR65	
A0A706Q874	
A0A713VVP0	
A0A622J962	
A0A6Y4RYX7	
A0A708CW91	
A0A708CDR4	
A0A708DG62	
A0A701IVB1	
A0A738CBA3	
A0A736A6U0	
A0A626FQ80	
A0A715U311	
A0A707YUC5	
A0A635XDZ2	
A0A706CWM4	
A0A710II79	
A0A736A8B8	
A0A774MZE0	
A0A767RXV4	
A0A603VCE1	
A0A710ATW7	
A0A708ST68	
A0A702AHH1	
A0A701I972	
A0A701IY24	
A0A5Z9X7B8	
A0A0A7CXL4	
A0A701DYT5	
A0A707YZN1	
A0A636B9I4	
A0A736E324	
A0A707JDX9	
A0A707HQF9	
A0A708J5G6	
A0A618VZU8	
A0A6Y3B1X2	
A0A709K6K7	
A0A707YUY4	
A0A729K561	
A0A1I9S366	
A0A5V8XNZ1	
A0A701NJK7	
A0A727MCC4	
A0A701NJA8	
A0A708AYQ6	
A0A5Z9X1G5	
A0A701H3I1	
A0A727TSJ7	
A0A767SCR1	
A0A6M3NJU1	
A0A5X4LB91	
A0A707ZWA0	
A0A767W1Q1	
A0A5Y4V526	
A0A706BU71	
A0A701AYU0	
A0A740YBG8	
A0A710C6G4	
A0A740F7D5	
A0A705WZT7	
A0A735ZUN1	
A0A714ERX6	
A0A708AFR2	
A0A706ERA2	
A0A707L7J9	
